benchmark,seed,decoder,question_id,predicted,correct,latency_s,scores
mock,1,conventional_blend,8,0,True,0.001006556999982422,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,9,0,True,0.0009149149999529982,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,conventional_blend,10,0,True,0.0009185949999164222,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,11,0,True,0.0009239019999540687,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,12,0,True,0.0008972260000064125,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,conventional_blend,13,0,True,0.0008872409999867159,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,14,0,True,0.0009458839999751945,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,15,0,True,0.0007640149999588175,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,conventional_blend,16,0,True,0.0007457770000200981,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,17,0,True,0.000788446000001386,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,18,0,True,0.0008175860000392277,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,conventional_blend,19,0,True,0.0011589559999265475,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,20,0,True,0.0009006480000834927,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,21,0,True,0.0006846820000419029,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,conventional_blend,22,0,True,0.000620863999984067,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,23,0,True,0.0007108190000053582,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,24,0,True,0.0006766929999457716,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,conventional_blend,25,0,True,0.000753069999973377,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,26,0,True,0.0011766779999788923,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,27,0,True,0.0007161629999927754,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,conventional_blend,28,0,True,0.0007126470000002882,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,29,0,True,0.0007972110000764587,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,30,0,True,0.0007425230000990268,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,conventional_blend,31,0,True,0.0006433809999180085,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,32,0,True,0.0007603569999901083,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,33,0,True,0.0006924619999608694,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,conventional_blend,34,0,True,0.0007322730000396405,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,35,0,True,0.0007051850000152626,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,36,0,True,0.0007508730000154173,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,conventional_blend,37,0,True,0.0007560430000239649,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,38,0,True,0.0007711660000495613,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,39,0,True,0.0006896590000451397,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,conventional_blend,40,0,True,0.0007499299999835785,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,41,0,True,0.0008383070000945736,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,42,0,True,0.0007712809999702586,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,conventional_blend,43,0,True,0.0007340650000742244,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,44,0,True,0.0007213769999907527,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,45,0,True,0.0007069989999308746,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,conventional_blend,46,0,True,0.000726977999988776,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,47,0,True,0.0006872569999814004,"[-1.2163955000467022, -3.295837032451347]"
mock,1,bcvf_trust,0,0,True,0.004038029999946957,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,bcvf_trust,1,0,True,0.003058141999986219,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,2,0,True,0.002900308999983281,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,3,0,True,0.003023567000013827,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,bcvf_trust,4,0,True,0.002858239000033791,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,5,0,True,0.0028798270000152115,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,6,0,True,0.0028770100000201637,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,bcvf_trust,7,0,True,0.0032023989999743208,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,8,0,True,0.003115812000032747,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,9,0,True,0.002839134999931048,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,bcvf_trust,10,0,True,0.0027834010001015486,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,11,0,True,0.0029074720000608067,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,12,0,True,0.0027693099999623882,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,bcvf_trust,13,0,True,0.0029180770000039047,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,14,0,True,0.0028811189999942144,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,15,0,True,0.003030807000072855,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,bcvf_trust,16,0,True,0.0029883150000387104,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,17,0,True,0.0028975879999961762,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,18,0,True,0.0027740429999312255,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,bcvf_trust,19,0,True,0.0027392079999799535,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,20,0,True,0.0027695329999914975,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,21,0,True,0.0025897450000229583,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,bcvf_trust,22,0,True,0.0026911539999900924,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,23,0,True,0.002748224000015398,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,24,0,True,0.002957317999971565,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,bcvf_trust,25,0,True,0.002714129999958459,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,26,0,True,0.002690781999945102,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,27,0,True,0.0026476100000536462,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,bcvf_trust,28,0,True,0.002778022000029523,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,29,0,True,0.00272946999996293,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,30,0,True,0.002656906999959574,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,bcvf_trust,31,0,True,0.0027250529999491846,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,32,0,True,0.0027276309999706427,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,33,0,True,0.003318667000030473,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,bcvf_trust,34,0,True,0.0031795229999715957,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,35,0,True,0.002693360999955985,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,36,0,True,0.0027416940000648538,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,bcvf_trust,37,0,True,0.0028176729999813688,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,38,0,True,0.00295701499999268,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,39,0,True,0.002706817999978739,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,bcvf_trust,40,0,True,0.0033925610000551387,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,41,0,True,0.0031735290000369787,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,42,0,True,0.00277644400000554,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,bcvf_trust,43,0,True,0.0026366030000417595,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,44,0,True,0.002483641000026182,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,45,0,True,0.0025909420000971295,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,bcvf_trust,46,0,True,0.002506377999907272,"[-1.2163955000467028, -3.2958370324513475]"
mock,1,bcvf_trust,47,0,True,0.0027725520000103643,"[-1.2163955000467028, -3.2958370324513475]"
