timestamp,msname,msinstanceid,nodeid,cpu_utilization,memory_utilization
1575,ms_1,inst_0,node_0,61.33,59.85
1590,ms_2,inst_1,node_1,58.37,59.55
1605,ms_3,inst_2,node_2,55.07,59.09
1620,ms_0,inst_3,node_0,51.46,58.47
1635,ms_1,inst_4,node_1,47.59,57.7
1650,ms_2,inst_5,node_2,43.5,56.78
1665,ms_3,inst_6,node_0,39.24,55.72
1680,ms_0,inst_0,node_1,34.86,54.54
1695,ms_1,inst_1,node_2,30.43,53.23
1710,ms_2,inst_2,node_0,34.01,51.81
1725,ms_3,inst_3,node_1,38.39,50.3
1740,ms_0,inst_4,node_2,42.68,48.7
1755,ms_1,inst_5,node_0,46.81,47.03
1770,ms_2,inst_6,node_1,50.73,45.3
1785,ms_3,inst_0,node_2,54.39,43.53
